"","Sample Code","Location","square","layer and bag","mass (g)","length (mm)","width (mm)","thickness (mm)","Low freq. mass specific susceptibility (SI units)","Freq. dependency (%)","Fe (oxide % mass)","Ti (oxide % mass)","Co (oxide % mass)"
"1","AUG","Augsberg Geological","","",36.2,NA,NA,NA,90.88,-19.91,8.4563,1.18,0.0028
"2","DAM","Dam 8 Geosamples","","",10.6,NA,NA,NA,124.53,0.32,19.8681,1.0384,0.0012
"3","DEH","De Hangen","","",16.6,NA,NA,NA,78.92,-1.91,10.5891,1.0864,0.0023
"4","KFR.01","Location 4 (KFR)","2","94b",0.6,16.7,6.9,3.1,16275,-2.92,21.0036,1.0106,0.001
"5","KFR.02","Location 4 (KFR)","6","117c",0.3,13.5,6.9,3.9,1766.67,0.94,30.2339,1.1014,0.0007
"6","KFR.03","Location 4 (KFR)","6","117c",0.3,18.9,11.2,0.9,-300,16.67,36.5203,1.5345,0.0006
"7","KFR.04","Location 4 (KFR)","1","62b",0.6,13.3,9.7,6.1,-50,16.67,36.3679,1.2112,0.0006
"8","KFR.05","Location 4 (KFR)","6","78c",0.5,18.7,15.3,1.9,-220,31.82,33.2417,1.0763,0.0007
"9","KFR.06","Location 4 (KFR)","6","126d",0.8,14.6,12.2,4.8,1400,0.89,35.4992,1.1159,0.0006
"10","KFR.07","Location 4 (KFR)","6","126d",6.9,45.9,24.6,1.7,217.39,-18.67,26.0359,2.3333,0.0008
"11","KFR.08","Location 4 (KFR)","6","88d",1,13.8,9.9,7.1,116140,0.64,38.3343,1.8779,0.0006
"12","KFR.09","Location 4 (KFR)","6","86c",1,16.3,14,4.5,100,-10,9.6056,1.908,0.0025
"13","KFR.10","Location 4 (KFR)","1","102d",8.7,36.1,18.2,16.3,2279.89,9.55,18.9042,3.5346,0.0011
"14","KFR.11","Location 4 (KFR)","6","86b",1.8,22.2,9.8,7.3,6650,1.38,23.7509,0.8049,0.001
"15","KFR.12","Location 4 (KFR)","6","",1.6,20.2,11.3,4.6,118.75,-26.32,45.0929,1.2274,0.0005
"16","KKH.01","Location 1 (KKH)","I2D","Dvi2",0.8,17.8,14.9,2.1,-6.25,-700,29.8575,1.7692,0.0007
"17","KKH.02","Location 1 (KKH)","I2D","Dvi2",4.3,34.2,29.6,4.4,3560.47,0.29,30.5449,1.3813,0.0008
"18","KKH.03","Location 1 (KKH)","I2D","Dvi2",3.3,18.9,11.6,7.4,3450,2.99,16.1399,0.8038,0.0015
"19","KKH.04","Location 1 (KKH)","I2D","Dvi5",1,14.7,11.6,4.7,26120,-0.13,53.8735,2.6566,0.0004
"20","KKH.05","Location 1 (KKH)","I2D","Dvi5",0.6,14.5,8.6,3.2,1066.67,1.56,43.9561,1.4961,0.0005
"21","KKH.06","Location 1 (KKH)","I2D","Dvi7",1.4,13.2,7.8,7.1,225,-3.17,53.459,1.7124,0.0004
"22","KKH.07","Location 1 (KKH)","I2D","Dvi7",1.7,13.1,6.3,2.9,6541.18,-4.09,45.1145,2.0139,0.0005
"23","KKH.08","Location 1 (KKH)","I2D","Dvi9",2,20.1,12.1,6.1,267.5,8.41,32.2609,3.2079,0.0007
"24","KKH.09","Location 1 (KKH)","I2D","Dvi9",3.7,19.6,10.7,4.1,162.16,5.83,37.4818,2.1734,0.0006
"25","KKH.10","Location 1 (KKH)","I2D","Dvi9",4.4,19.7,15.1,7.3,19214.77,0.82,40.7578,1.8177,0.0006
"26","KKH.11","Location 1 (KKH)","I2D","Dvi9",1.9,18.4,10.7,4.4,3707.89,-0.28,33.4313,2.1795,0.0007
