Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130125-brickn679-50sec"
Duration Time,50
Ambient Temperature,"76.0"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"67065"
Raw Accumulated Counts,"76369"
Valid Count Last Packet,"1337"
Raw Count Last Packet,"1479"
Live Time,47.635998
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,758
Channel#,Intensity
0,"0"
1,"0"
2,"0"
3,"0"
4,"0"
5,"1"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"0"
19,"0"
20,"0"
21,"0"
22,"0"
23,"3"
24,"1"
25,"4"
26,"8"
27,"6"
28,"12"
29,"9"
30,"22"
31,"15"
32,"14"
33,"21"
34,"25"
35,"30"
36,"32"
37,"27"
38,"25"
39,"39"
40,"31"
41,"25"
42,"29"
43,"32"
44,"36"
45,"30"
46,"31"
47,"50"
48,"33"
49,"35"
50,"29"
51,"30"
52,"33"
53,"32"
54,"27"
55,"34"
56,"31"
57,"32"
58,"35"
59,"42"
60,"44"
61,"28"
62,"50"
63,"34"
64,"38"
65,"28"
66,"36"
67,"36"
68,"40"
69,"27"
70,"31"
71,"33"
72,"38"
73,"36"
74,"33"
75,"40"
76,"38"
77,"30"
78,"33"
79,"17"
80,"28"
81,"39"
82,"32"
83,"32"
84,"22"
85,"35"
86,"28"
87,"31"
88,"21"
89,"43"
90,"29"
91,"28"
92,"26"
93,"38"
94,"34"
95,"34"
96,"28"
97,"34"
98,"32"
99,"34"
100,"23"
101,"24"
102,"29"
103,"14"
104,"25"
105,"22"
106,"28"
107,"40"
108,"29"
109,"24"
110,"27"
111,"31"
112,"19"
113,"18"
114,"25"
115,"15"
116,"26"
117,"30"
118,"17"
119,"21"
120,"16"
121,"22"
122,"16"
123,"28"
124,"20"
125,"17"
126,"32"
127,"16"
128,"21"
129,"22"
130,"18"
131,"26"
132,"23"
133,"27"
134,"27"
135,"17"
136,"20"
137,"26"
138,"19"
139,"18"
140,"14"
141,"20"
142,"18"
143,"22"
144,"19"
145,"14"
146,"18"
147,"19"
148,"22"
149,"22"
150,"22"
151,"15"
152,"16"
153,"22"
154,"13"
155,"18"
156,"21"
157,"20"
158,"21"
159,"16"
160,"23"
161,"18"
162,"20"
163,"20"
164,"32"
165,"27"
166,"38"
167,"17"
168,"20"
169,"17"
170,"24"
171,"23"
172,"12"
173,"18"
174,"21"
175,"18"
176,"19"
177,"18"
178,"16"
179,"19"
180,"23"
181,"11"
182,"17"
183,"12"
184,"5"
185,"17"
186,"10"
187,"11"
188,"12"
189,"7"
190,"10"
191,"12"
192,"14"
193,"8"
194,"10"
195,"8"
196,"8"
197,"10"
198,"8"
199,"7"
200,"12"
201,"2"
202,"10"
203,"6"
204,"8"
205,"7"
206,"9"
207,"7"
208,"4"
209,"6"
210,"10"
211,"6"
212,"2"
