Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130129-dehangen300sec-3"
Duration Time,300
Ambient Temperature,"103.3"
Detector Temperature,"-38.5"
Valid Accumulated Counts,"442700"
Raw Accumulated Counts,"505874"
Valid Count Last Packet,"1499"
Raw Count Last Packet,"1719"
Live Time,284.396240
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,775
Channel#,Intensity
0,"0"
1,"0"
2,"0"
3,"0"
4,"0"
5,"0"
6,"2"
7,"1"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"1"
17,"1"
18,"0"
19,"1"
20,"1"
21,"1"
22,"6"
23,"15"
24,"16"
25,"16"
26,"30"
27,"43"
28,"70"
29,"87"
30,"106"
31,"118"
32,"125"
33,"143"
34,"181"
35,"179"
36,"191"
37,"203"
38,"197"
39,"195"
40,"199"
41,"207"
42,"198"
43,"203"
44,"199"
45,"179"
46,"184"
47,"182"
48,"201"
49,"212"
50,"204"
51,"199"
52,"207"
53,"213"
54,"222"
55,"242"
56,"214"
57,"210"
58,"228"
59,"215"
60,"249"
61,"237"
62,"233"
63,"229"
64,"257"
65,"254"
66,"221"
67,"216"
68,"234"
69,"205"
70,"234"
71,"246"
72,"235"
73,"224"
74,"210"
75,"214"
76,"224"
77,"216"
78,"228"
79,"216"
80,"204"
81,"200"
82,"223"
83,"202"
84,"197"
85,"202"
86,"201"
87,"190"
88,"195"
89,"191"
90,"176"
91,"207"
92,"196"
93,"188"
94,"181"
95,"181"
96,"159"
97,"149"
98,"186"
99,"180"
100,"189"
101,"172"
102,"164"
103,"178"
104,"173"
105,"177"
106,"157"
107,"175"
108,"153"
109,"155"
110,"200"
111,"142"
112,"162"
113,"127"
114,"159"
115,"156"
116,"152"
117,"184"
118,"147"
119,"165"
120,"134"
121,"146"
122,"153"
123,"154"
124,"138"
125,"154"
126,"156"
127,"134"
128,"155"
129,"135"
130,"145"
131,"140"
132,"132"
133,"127"
134,"154"
135,"114"
136,"110"
137,"130"
138,"124"
139,"140"
140,"144"
141,"133"
142,"116"
143,"146"
144,"113"
145,"155"
146,"130"
147,"110"
148,"130"
149,"120"
150,"123"
151,"136"
152,"107"
153,"114"
154,"126"
155,"119"
156,"120"
157,"131"
158,"98"
159,"104"
160,"130"
161,"124"
162,"108"
163,"135"
164,"130"
165,"123"
166,"104"
167,"118"
168,"102"
169,"108"
170,"105"
171,"106"
172,"109"
173,"117"
174,"99"
175,"81"
176,"100"
177,"90"
178,"85"
179,"90"
180,"88"
181,"83"
182,"79"
183,"100"
184,"77"
185,"74"
186,"60"
187,"71"
188,"69"
189,"66"
190,"85"
191,"71"
192,"75"
193,"79"
194,"61"
195,"68"
196,"70"
197,"79"
198,"87"
199,"74"
200,"72"
201,"69"
202,"55"
203,"48"
204,"65"
205,"56"
206,"58"
207,"47"
208,"58"
209,"47"
210,"58"
211,"44"
212,"38"
213,"47"
214,"68"
215,"44"
216,"44"
217,"46"
218,"68"
219,"51"
220,"57"
221,"91"
222,"103"
223,"107"
224,"99"
225,"106"
226,"129"
227,"148"
228,"119"
229,"127"
230,"115"
231,"124"
232,"95"
233,"94"
234,"72"
235,"88"
236,"75"
237,"44"
238,"52"
239,"55"
240,"46"
241,"48"
242,"52"
243,"47"
244,"42"
245,"47"
246,"54"
247,"55"
248,"44"
249,"44"
250,"45"
251,"38"
252,"34"
253,"34"
254,"26"
255,"23"
256,"22"
257,"38"
258,"31"
259,"34"
260,"31"
261,"30"
262,"30"
263,"22"
264,"44"
265,"27"
266,"26"
267,"37"
268,"38"
269,"26"
270,"41"
271,"28"
272,"45"
273,"29"
274,"26"
275,"21"
276,"25"
277,"24"
278,"31"
279,"23"
280,"26"
281,"30"
