Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130129-kleinkliphuis-300sec-4"
Duration Time,300
Ambient Temperature,"101.3"
Detector Temperature,"-39.5"
Valid Accumulated Counts,"296437"
Raw Accumulated Counts,"345074"
Valid Count Last Packet,"1027"
Raw Count Last Packet,"1205"
Live Time,289.369934
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,778
Channel#,Intensity
0,"0"
1,"0"
2,"0"
3,"0"
4,"0"
5,"0"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"1"
14,"0"
15,"0"
16,"0"
17,"1"
18,"0"
19,"2"
20,"0"
21,"0"
22,"3"
23,"14"
24,"15"
25,"14"
26,"26"
27,"27"
28,"45"
29,"61"
30,"53"
31,"90"
32,"114"
33,"143"
34,"133"
35,"163"
36,"151"
37,"148"
38,"147"
39,"146"
40,"165"
41,"184"
42,"156"
43,"182"
44,"178"
45,"189"
46,"181"
47,"178"
48,"189"
49,"200"
50,"188"
51,"189"
52,"180"
53,"182"
54,"208"
55,"177"
56,"192"
57,"198"
58,"221"
59,"229"
60,"196"
61,"213"
62,"214"
63,"224"
64,"197"
65,"217"
66,"208"
67,"193"
68,"200"
69,"197"
70,"218"
71,"194"
72,"218"
73,"208"
74,"208"
75,"197"
76,"194"
77,"164"
78,"171"
79,"182"
80,"156"
81,"185"
82,"174"
83,"161"
84,"168"
85,"188"
86,"159"
87,"191"
88,"196"
89,"187"
90,"173"
91,"172"
92,"169"
93,"184"
94,"154"
95,"121"
96,"153"
97,"165"
98,"173"
99,"158"
100,"166"
101,"129"
102,"134"
103,"149"
104,"161"
105,"135"
106,"134"
107,"155"
108,"126"
109,"154"
110,"144"
111,"131"
112,"131"
113,"130"
114,"128"
115,"142"
116,"124"
117,"134"
118,"138"
119,"131"
120,"138"
121,"127"
122,"125"
123,"121"
124,"114"
125,"128"
126,"127"
127,"119"
128,"100"
129,"111"
130,"131"
131,"114"
132,"120"
133,"115"
134,"110"
135,"109"
136,"102"
137,"113"
138,"99"
139,"107"
140,"112"
141,"109"
142,"107"
143,"111"
144,"106"
145,"124"
146,"107"
147,"91"
148,"104"
149,"129"
150,"112"
151,"92"
152,"101"
153,"101"
154,"105"
155,"92"
156,"96"
157,"98"
158,"96"
159,"112"
160,"111"
161,"108"
162,"79"
163,"81"
164,"101"
165,"112"
166,"90"
167,"79"
168,"96"
169,"92"
170,"90"
171,"89"
172,"65"
173,"66"
174,"70"
175,"71"
176,"62"
177,"77"
178,"63"
179,"61"
180,"96"
181,"64"
182,"67"
183,"80"
184,"82"
185,"77"
186,"58"
187,"83"
188,"67"
189,"59"
190,"59"
191,"58"
192,"68"
193,"57"
194,"53"
195,"57"
196,"49"
197,"49"
198,"57"
199,"53"
200,"52"
201,"47"
202,"41"
203,"36"
204,"49"
205,"29"
206,"41"
207,"35"
208,"41"
209,"32"
210,"37"
211,"37"
212,"39"
213,"41"
214,"38"
215,"41"
216,"40"
217,"37"
218,"40"
219,"50"
220,"49"
221,"37"
222,"52"
223,"60"
224,"75"
225,"44"
226,"64"
227,"73"
228,"58"
229,"56"
230,"55"
231,"46"
232,"51"
233,"33"
234,"40"
235,"48"
236,"50"
237,"48"
238,"27"
239,"28"
240,"33"
241,"35"
242,"23"
243,"33"
244,"30"
245,"32"
246,"35"
247,"29"
248,"37"
249,"24"
250,"24"
251,"22"
252,"21"
253,"16"
254,"13"
255,"20"
256,"22"
257,"16"
258,"16"
259,"21"
260,"20"
261,"18"
262,"19"
263,"13"
264,"15"
265,"17"
266,"19"
267,"26"
268,"21"
269,"19"
270,"13"
271,"11"
272,"12"
273,"15"
274,"18"
275,"15"
276,"17"
277,"17"
278,"12"
279,"5"
280,"26"
281,"14"
282,"18"
283,"26"
284,"19"
285,"23"
286,"34"
287,"49"
288,"60"
289,"81"
290,"111"
291,"166"
292,"177"
293,"201"
294,"205"
295,"214"
296,"204"
297,"209"
298,"152"
299,"134"
300,"135"
301,"84"
302,"63"
303,"65"
304,"42"
305,"43"
306,"34"
307,"32"
308,"54"
309,"77"
310,"112"
311,"209"
312,"318"
313,"433"
314,"654"
315,"854"
316,"998"
317,"1266"
318,"1431"
319,"1557"
320,"1642"
321,"1640"
322,"1469"
323,"1307"
324,"1105"
325,"861"
326,"671"
327,"525"
328,"379"
329,"303"
330,"198"
331,"137"
332,"110"
333,"71"
334,"51"
335,"38"
336,"32"
337,"33"
338,"34"
339,"41"
340,"32"
341,"42"
342,"37"
343,"49"
344,"73"
345,"82"
346,"116"
347,"144"
348,"158"
349,"215"
350,"231"
351,"255"
352,"276"
353,"276"
354,"287"
355,"248"
356,"235"
357,"186"
358,"149"
359,"113"
360,"94"
361,"73"
362,"48"
363,"39"
364,"26"
365,"24"
366,"26"
367,"35"
368,"26"
369,"44"
370,"42"
371,"38"
372,"39"
373,"47"
374,"50"
375,"52"
376,"48"
377,"33"
378,"23"
379,"37"
380,"18"
381,"31"
382,"25"
383,"15"
384,"16"
385,"14"
386,"12"
387,"6"
388,"6"
389,"10"
390,"11"
391,"13"
392,"6"
393,"11"
394,"9"
395,"15"
396,"9"
397,"11"
398,"6"
399,"11"
400,"21"
401,"9"
402,"11"
403,"14"
404,"9"
405,"11"
406,"8"
407,"21"
408,"22"
409,"14"
410,"15"
411,"21"
412,"23"
413,"11"
414,"13"
415,"18"
416,"18"
417,"23"
418,"15"
419,"22"
420,"20"
421,"25"
422,"20"
423,"17"
424,"11"
425,"17"
426,"22"
427,"11"
428,"14"
429,"26"
430,"19"
431,"11"
432,"16"
433,"14"
434,"18"
435,"13"
436,"12"
437,"9"
438,"12"
439,"10"
440,"7"
441,"11"
442,"10"
443,"7"
444,"8"
445,"7"
446,"9"
447,"6"
448,"2"
449,"5"
450,"8"
451,"9"
452,"3"
453,"4"
454,"4"
455,"11"
456,"8"
457,"6"
458,"6"
459,"7"
460,"6"
461,"8"
462,"10"
463,"4"
464,"9"
465,"6"
466,"7"
467,"7"
468,"8"
469,"10"
470,"10"
471,"12"
472,"7"
473,"11"
474,"7"
475,"7"
476,"7"
477,"11"
478,"15"
479,"20"
480,"16"
481,"11"
482,"8"
483,"11"
484,"15"
485,"14"
486,"15"
487,"13"
488,"18"
489,"8"
490,"13"
491,"7"
492,"6"
493,"7"
494,"6"
495,"10"
496,"8"
497,"6"
498,"7"
499,"3"
500,"8"
501,"6"
502,"4"
503,"6"
504,"11"
505,"3"
506,"0"
507,"7"
508,"4"
509,"5"
510,"3"
511,"0"
512,"5"
513,"4"
514,"10"
515,"6"
516,"3"
517,"6"
518,"9"
519,"6"
520,"7"
521,"10"
522,"11"
523,"8"
524,"14"
525,"15"
526,"21"
527,"14"
528,"18"
529,"12"
530,"5"
531,"16"
532,"7"
533,"11"
534,"10"
535,"4"
536,"6"
537,"4"
538,"3"
539,"5"
540,"7"
541,"5"
542,"2"
543,"2"
544,"9"
545,"6"
546,"4"
547,"7"
548,"5"
549,"4"
550,"5"
551,"4"
552,"5"
553,"4"
554,"7"
555,"5"
556,"4"
557,"6"
558,"2"
559,"11"
560,"9"
561,"10"
562,"5"
563,"9"
564,"7"
565,"2"
566,"5"
567,"10"
568,"12"
569,"5"
570,"11"
571,"6"
572,"4"
573,"4"
574,"6"
575,"2"
576,"2"
577,"9"
578,"6"
579,"7"
580,"4"
581,"6"
582,"9"
583,"2"
584,"8"
585,"6"
586,"7"
587,"3"
588,"18"
589,"6"
590,"7"
591,"9"
592,"4"
593,"8"
594,"4"
595,"7"
596,"4"
597,"9"
598,"10"
599,"5"
600,"7"
601,"5"
602,"7"
603,"7"
604,"4"
605,"8"
606,"8"
607,"3"
608,"4"
609,"3"
610,"3"
611,"3"
612,"10"
613,"2"
614,"6"
615,"8"
616,"6"
617,"11"
618,"6"
619,"4"
620,"7"
621,"9"
622,"4"
623,"6"
624,"9"
625,"9"
626,"5"
627,"7"
628,"19"
629,"11"
630,"16"
631,"18"
632,"12"
633,"9"
634,"9"
635,"9"
636,"12"
637,"6"
638,"9"
639,"2"
640,"10"
641,"8"
642,"6"
643,"7"
644,"6"
645,"10"
646,"6"
647,"8"
648,"7"
649,"6"
650,"4"
651,"9"
652,"7"
653,"8"
654,"7"
655,"9"
656,"13"
657,"13"
658,"1"
659,"16"
660,"15"
661,"12"
662,"12"
663,"16"
664,"16"
665,"21"
666,"32"
667,"26"
668,"27"
669,"39"
670,"35"
671,"31"
672,"24"
673,"20"
674,"18"
675,"18"
676,"18"
677,"12"
678,"15"
679,"10"
680,"11"
681,"6"
682,"8"
683,"7"
684,"7"
685,"2"
686,"3"
687,"7"
688,"4"
689,"3"
690,"6"
691,"4"
692,"3"
693,"14"
694,"6"
695,"10"
696,"5"
697,"13"
698,"8"
699,"12"
700,"18"
701,"18"
702,"21"
703,"33"
704,"32"
705,"21"
706,"39"
707,"38"
708,"27"
709,"30"
710,"26"
711,"22"
712,"19"
713,"25"
714,"14"
715,"13"
716,"21"
717,"17"
718,"7"
719,"6"
720,"9"
721,"11"
722,"4"
723,"4"
724,"6"
725,"4"
726,"2"
727,"8"
728,"8"
729,"8"
730,"5"
731,"6"
732,"6"
733,"8"
734,"11"
735,"8"
736,"12"
737,"15"
738,"9"
739,"20"
740,"19"
741,"18"
742,"11"
743,"12"
744,"24"
745,"24"
746,"22"
747,"39"
748,"26"
749,"27"
750,"16"
751,"18"
752,"14"
753,"18"
754,"20"
755,"19"
756,"13"
757,"13"
758,"10"
759,"12"
760,"8"
761,"13"
762,"9"
763,"10"
764,"8"
765,"13"
766,"11"
767,"7"
768,"9"
769,"9"
770,"10"
771,"11"
772,"15"
773,"11"
774,"25"
775,"29"
776,"43"
777,"55"
778,"57"
779,"61"
780,"73"
781,"80"
782,"122"
783,"135"
784,"139"
785,"142"
786,"174"
787,"147"
788,"179"
789,"173"
790,"138"
791,"158"
792,"117"
793,"106"
794,"86"
795,"73"
796,"73"
797,"59"
798,"49"
799,"29"
800,"23"
801,"24"
802,"22"
803,"26"
804,"25"
805,"24"
806,"15"
807,"26"
808,"9"
809,"16"
810,"15"
811,"19"
812,"11"
813,"13"
814,"18"
815,"11"
816,"11"
817,"14"
818,"12"
819,"15"
820,"16"
821,"15"
822,"16"
823,"31"
824,"30"
825,"17"
826,"21"
827,"21"
828,"23"
829,"11"
830,"26"
831,"24"
832,"20"
833,"21"
834,"18"
835,"23"
836,"16"
837,"15"
838,"22"
839,"17"
840,"16"
841,"19"
842,"12"
843,"15"
844,"18"
845,"17"
846,"17"
847,"16"
848,"18"
849,"19"
850,"18"
851,"13"
852,"19"
853,"26"
854,"25"
855,"9"
856,"23"
857,"17"
858,"23"
859,"18"
860,"12"
861,"27"
862,"33"
863,"16"
864,"25"
865,"20"
866,"22"
867,"18"
868,"24"
869,"34"
