Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130208-KransvleiCH009-300sec-7"
Duration Time,300
Ambient Temperature,"102.2"
Detector Temperature,"-39.0"
Valid Accumulated Counts,"405511"
Raw Accumulated Counts,"461457"
Valid Count Last Packet,"1314"
Raw Count Last Packet,"1498"
Live Time,285.714905
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,776
Channel#,Intensity
0,"0"
1,"0"
2,"0"
3,"1"
4,"0"
5,"0"
6,"1"
7,"1"
8,"1"
9,"1"
10,"0"
11,"1"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"1"
18,"2"
19,"0"
20,"2"
21,"3"
22,"3"
23,"10"
24,"15"
25,"25"
26,"23"
27,"48"
28,"59"
29,"75"
30,"78"
31,"101"
32,"128"
33,"136"
34,"164"
35,"163"
36,"175"
37,"159"
38,"185"
39,"152"
40,"180"
41,"191"
42,"169"
43,"174"
44,"151"
45,"164"
46,"157"
47,"167"
48,"189"
49,"166"
50,"167"
51,"162"
52,"193"
53,"194"
54,"211"
55,"207"
56,"215"
57,"210"
58,"230"
59,"237"
60,"214"
61,"229"
62,"231"
63,"195"
64,"236"
65,"216"
66,"222"
67,"196"
68,"225"
69,"209"
70,"238"
71,"228"
72,"184"
73,"176"
74,"202"
75,"198"
76,"210"
77,"215"
78,"185"
79,"201"
80,"218"
81,"182"
82,"167"
83,"180"
84,"195"
85,"200"
86,"195"
87,"175"
88,"196"
89,"187"
90,"168"
91,"206"
92,"176"
93,"169"
94,"172"
95,"150"
96,"167"
97,"173"
98,"156"
99,"169"
100,"158"
101,"147"
102,"163"
103,"174"
104,"178"
105,"146"
106,"141"
107,"153"
108,"138"
109,"137"
110,"169"
111,"125"
112,"144"
113,"144"
114,"140"
115,"132"
116,"130"
117,"152"
118,"141"
119,"146"
120,"131"
121,"137"
122,"147"
123,"148"
124,"137"
125,"114"
126,"123"
127,"146"
128,"124"
129,"127"
130,"115"
131,"126"
132,"144"
133,"107"
134,"143"
135,"127"
136,"125"
137,"125"
138,"122"
139,"140"
140,"98"
141,"110"
142,"125"
143,"123"
144,"135"
145,"107"
146,"130"
147,"126"
148,"108"
149,"112"
150,"126"
151,"99"
152,"96"
153,"119"
154,"107"
155,"112"
156,"119"
157,"99"
158,"99"
159,"91"
160,"106"
161,"123"
162,"102"
163,"97"
164,"104"
165,"118"
166,"113"
167,"124"
168,"107"
169,"106"
170,"103"
171,"93"
172,"83"
173,"109"
174,"72"
175,"104"
176,"96"
177,"96"
178,"94"
179,"77"
180,"71"
181,"75"
182,"72"
183,"78"
184,"79"
185,"63"
186,"96"
187,"88"
188,"75"
189,"82"
190,"73"
191,"64"
192,"64"
193,"68"
194,"52"
195,"51"
196,"60"
197,"57"
198,"76"
199,"70"
200,"54"
201,"50"
202,"50"
203,"50"
204,"55"
205,"42"
206,"53"
207,"48"
208,"45"
209,"46"
210,"45"
211,"33"
212,"42"
213,"45"
214,"38"
215,"48"
216,"46"
217,"56"
218,"61"
219,"54"
220,"50"
221,"77"
222,"67"
223,"71"
224,"103"
225,"79"
226,"93"
227,"99"
228,"89"
229,"94"
230,"98"
231,"89"
232,"79"
233,"83"
234,"81"
235,"63"
236,"56"
237,"42"
238,"54"
239,"46"
240,"48"
241,"39"
242,"37"
243,"41"
244,"45"
245,"42"
246,"42"
247,"40"
248,"43"
249,"49"
250,"38"
251,"38"
252,"25"
253,"25"
254,"23"
