Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130214-brickn679-300sec-5"
Duration Time,300
Ambient Temperature,"86.8"
Detector Temperature,"-40.0"
Valid Accumulated Counts,"396805"
Raw Accumulated Counts,"450886"
Valid Count Last Packet,"1296"
Raw Count Last Packet,"1459"
Live Time,286.038971
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,778
Channel#,Intensity
0,"0"
1,"1"
2,"0"
3,"0"
4,"1"
5,"0"
6,"1"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"1"
17,"0"
18,"0"
19,"1"
20,"2"
21,"4"
22,"7"
23,"6"
24,"13"
25,"18"
26,"29"
27,"32"
28,"59"
29,"68"
30,"91"
31,"107"
32,"122"
33,"143"
34,"152"
35,"149"
36,"159"
37,"140"
38,"162"
39,"147"
40,"163"
41,"163"
42,"146"
43,"200"
44,"178"
45,"182"
46,"156"
47,"195"
48,"174"
49,"194"
50,"185"
51,"183"
52,"195"
53,"191"
54,"194"
55,"187"
56,"217"
57,"217"
58,"205"
59,"210"
60,"196"
61,"205"
62,"222"
63,"207"
64,"228"
65,"233"
66,"205"
67,"206"
68,"206"
69,"221"
70,"224"
71,"215"
72,"200"
73,"195"
74,"221"
75,"219"
76,"221"
77,"203"
78,"165"
79,"216"
80,"190"
81,"199"
82,"203"
83,"186"
84,"185"
85,"182"
86,"190"
87,"184"
88,"177"
89,"169"
90,"167"
91,"172"
92,"153"
93,"175"
94,"179"
95,"183"
96,"159"
97,"167"
98,"128"
99,"155"
100,"168"
101,"133"
102,"149"
103,"164"
104,"153"
105,"146"
106,"140"
107,"128"
108,"153"
109,"155"
110,"145"
111,"143"
112,"149"
113,"146"
114,"128"
115,"150"
116,"147"
117,"146"
118,"143"
119,"122"
120,"140"
121,"127"
122,"121"
123,"151"
124,"145"
125,"122"
126,"139"
127,"131"
128,"128"
129,"135"
130,"115"
131,"128"
132,"141"
133,"103"
134,"143"
135,"140"
136,"87"
137,"130"
138,"114"
139,"120"
140,"122"
141,"127"
142,"106"
143,"122"
144,"96"
145,"97"
146,"106"
147,"115"
148,"119"
149,"109"
150,"132"
151,"105"
152,"103"
153,"101"
154,"105"
155,"108"
156,"98"
157,"95"
158,"92"
159,"117"
160,"106"
161,"120"
162,"123"
163,"157"
164,"128"
165,"153"
166,"128"
167,"157"
168,"131"
169,"112"
170,"112"
171,"95"
172,"102"
173,"92"
174,"86"
175,"74"
176,"102"
177,"69"
178,"75"
179,"87"
180,"99"
181,"88"
182,"78"
183,"99"
184,"89"
185,"83"
186,"88"
187,"83"
188,"72"
189,"73"
190,"58"
191,"76"
192,"72"
193,"75"
194,"59"
195,"60"
196,"45"
197,"77"
198,"56"
199,"64"
200,"54"
201,"51"
202,"46"
203,"54"
204,"52"
205,"52"
206,"45"
207,"39"
208,"43"
209,"39"
210,"43"
211,"55"
212,"50"
213,"49"
214,"40"
215,"42"
216,"49"
217,"38"
218,"52"
219,"60"
220,"76"
221,"91"
222,"95"
223,"95"
224,"113"
225,"132"
226,"123"
227,"130"
228,"119"
229,"95"
230,"78"
231,"98"
232,"103"
233,"77"
234,"69"
235,"72"
236,"52"
237,"52"
238,"46"
239,"42"
240,"58"
241,"55"
242,"42"
243,"53"
244,"50"
245,"61"
246,"41"
247,"35"
248,"48"
249,"45"
250,"43"
251,"30"
252,"29"
253,"22"
254,"23"
255,"43"
256,"30"
257,"30"
258,"25"
259,"33"
260,"28"
261,"28"
262,"25"
263,"33"
264,"28"
265,"34"
266,"28"
267,"31"
268,"36"
269,"32"
270,"28"
271,"25"
272,"33"
273,"24"
274,"24"
275,"25"
276,"33"
277,"22"
278,"14"
279,"28"
280,"9"
281,"26"
282,"16"
283,"19"
284,"27"
285,"31"
286,"32"
287,"49"
288,"40"
289,"70"
290,"62"
291,"80"
292,"107"
293,"106"
294,"110"
295,"107"
296,"105"
297,"107"
298,"102"
299,"84"
300,"79"
301,"67"
302,"53"
303,"52"
304,"59"
305,"60"
306,"76"
307,"129"
308,"187"
309,"323"
310,"494"
311,"837"
312,"1232"
313,"1846"
314,"2661"
315,"3570"
316,"4502"
317,"5468"
318,"6185"
319,"6885"
320,"7135"
321,"7081"
322,"6415"
323,"5632"
324,"4743"
325,"3792"
326,"2904"
327,"2184"
328,"1596"
329,"1107"
330,"750"
