Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130215-brick679-300sec-8"
Duration Time,300
Ambient Temperature,"105.3"
Detector Temperature,"-37.5"
Valid Accumulated Counts,"395337"
Raw Accumulated Counts,"449372"
Valid Count Last Packet,"1320"
Raw Count Last Packet,"1494"
Live Time,286.081940
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,778
Channel#,Intensity
0,"1"
1,"1"
2,"0"
3,"0"
4,"1"
5,"0"
6,"3"
7,"1"
8,"2"
9,"0"
10,"0"
11,"0"
12,"1"
13,"1"
14,"0"
15,"1"
16,"1"
17,"0"
18,"0"
19,"2"
20,"0"
21,"5"
22,"3"
23,"5"
24,"19"
25,"15"
26,"32"
27,"26"
28,"59"
29,"81"
30,"79"
31,"95"
32,"119"
33,"119"
34,"125"
35,"149"
36,"164"
37,"164"
38,"159"
39,"174"
40,"181"
41,"169"
42,"155"
43,"145"
44,"156"
45,"182"
46,"166"
47,"158"
48,"161"
49,"176"
50,"175"
51,"165"
52,"157"
53,"194"
54,"192"
55,"206"
56,"203"
57,"205"
58,"224"
59,"212"
60,"234"
61,"205"
62,"192"
63,"214"
64,"216"
65,"200"
66,"198"
67,"204"
68,"200"
69,"214"
70,"185"
71,"199"
72,"230"
73,"215"
74,"190"
75,"200"
76,"224"
77,"193"
78,"167"
79,"176"
80,"191"
81,"200"
82,"195"
83,"163"
84,"160"
85,"183"
86,"175"
87,"173"
88,"168"
89,"166"
90,"158"
91,"167"
92,"173"
93,"173"
94,"174"
95,"154"
96,"164"
97,"155"
98,"151"
99,"142"
100,"151"
101,"143"
102,"151"
103,"147"
104,"157"
105,"131"
106,"141"
107,"147"
108,"139"
109,"140"
110,"132"
111,"137"
112,"142"
113,"150"
114,"138"
115,"119"
116,"137"
117,"138"
118,"103"
119,"127"
120,"117"
121,"130"
122,"133"
123,"134"
124,"148"
125,"156"
126,"129"
127,"105"
128,"105"
129,"135"
130,"112"
131,"103"
132,"112"
133,"109"
134,"113"
135,"113"
136,"93"
137,"109"
138,"109"
139,"134"
140,"107"
141,"126"
142,"114"
143,"108"
144,"128"
145,"111"
146,"108"
147,"96"
148,"134"
149,"104"
150,"102"
151,"106"
152,"98"
153,"85"
154,"103"
155,"99"
156,"95"
157,"123"
158,"90"
159,"103"
160,"112"
161,"122"
162,"137"
163,"135"
164,"131"
165,"150"
166,"144"
167,"146"
168,"143"
169,"128"
170,"113"
171,"111"
172,"95"
173,"90"
174,"97"
175,"74"
176,"82"
177,"79"
178,"83"
179,"80"
180,"85"
181,"103"
182,"64"
183,"88"
184,"84"
185,"80"
186,"73"
187,"62"
188,"79"
189,"65"
190,"77"
191,"69"
192,"57"
193,"62"
194,"56"
195,"61"
196,"63"
197,"57"
198,"63"
199,"56"
200,"51"
201,"48"
202,"63"
203,"65"
204,"62"
205,"54"
206,"47"
207,"42"
208,"51"
209,"43"
210,"29"
211,"39"
212,"46"
213,"44"
214,"48"
215,"41"
216,"36"
217,"50"
218,"61"
219,"60"
220,"85"
221,"77"
222,"95"
223,"108"
224,"123"
225,"119"
226,"108"
227,"131"
228,"120"
229,"112"
230,"110"
231,"99"
232,"101"
233,"89"
234,"66"
235,"77"
236,"74"
237,"61"
238,"59"
239,"39"
240,"58"
241,"35"
242,"41"
243,"46"
244,"45"
245,"36"
246,"46"
247,"39"
248,"47"
249,"43"
250,"25"
251,"33"
252,"26"
253,"33"
254,"29"
255,"28"
256,"24"
257,"26"
258,"29"
259,"31"
260,"31"
261,"25"
262,"26"
263,"22"
264,"35"
265,"24"
266,"41"
267,"33"
268,"34"
269,"33"
270,"33"
271,"24"
272,"26"
273,"28"
274,"28"
275,"24"
276,"23"
277,"25"
278,"21"
279,"33"
280,"21"
281,"19"
282,"24"
283,"26"
284,"29"
285,"30"
286,"25"
287,"28"
288,"41"
289,"49"
290,"69"
291,"68"
292,"93"
293,"106"
294,"111"
295,"124"
296,"116"
297,"100"
298,"85"
299,"69"
300,"68"
301,"58"
302,"50"
303,"48"
304,"57"
305,"57"
306,"76"
307,"111"
308,"190"
309,"287"
310,"441"
311,"895"
312,"1384"
313,"1903"
314,"2664"
315,"3704"
316,"4699"
317,"5903"
318,"6632"
319,"7095"
320,"7584"
321,"7381"
322,"6832"
323,"6344"
324,"5157"
325,"4156"
326,"3229"
327,"2386"
328,"1685"
329,"1094"
330,"730"
331,"500"
332,"296"
333,"218"
334,"141"
335,"89"
336,"85"
337,"52"
338,"73"
339,"85"
340,"87"
341,"88"
342,"118"
343,"169"
344,"211"
345,"304"
346,"461"
347,"546"
348,"774"
349,"946"
350,"1015"
351,"1233"
352,"1334"
353,"1311"
354,"1263"
355,"1140"
356,"997"
357,"881"
358,"643"
359,"498"
360,"414"
361,"280"
362,"179"
363,"155"
364,"97"
365,"66"
366,"39"
367,"47"
368,"45"
369,"52"
370,"43"
371,"54"
372,"48"
373,"56"
374,"61"
375,"65"
376,"42"
377,"49"
378,"35"
379,"44"
380,"27"
381,"21"
382,"20"
383,"19"
384,"13"
385,"12"
386,"7"
387,"9"
388,"8"
389,"6"
390,"6"
391,"12"
392,"14"
393,"11"
394,"11"
395,"7"
396,"14"
397,"14"
398,"26"
399,"21"
400,"29"
401,"34"
402,"28"
403,"33"
404,"31"
405,"24"
406,"26"
407,"20"
408,"18"
409,"21"
410,"13"
411,"35"
