Bruker AXS Handheld Inc. S1PXRF Spectrum 
Label,"130314-brickn679-300sec-1"
Duration Time,300
Ambient Temperature,"78.3"
Detector Temperature,"-40.5"
Valid Accumulated Counts,"387078"
Raw Accumulated Counts,"439385"
Valid Count Last Packet,"1295"
Raw Count Last Packet,"1469"
Live Time,286.375000
HV DAC,203
HV ADC,40.000000
Filament DAC,215
Filament ADC,27.900000
Pulse Length,200
Pulse Period,254
Filter,2
eV per channel,20
Number of Channels,2048
Vacuum,760
Channel#,Intensity
0,"0"
1,"0"
2,"0"
3,"0"
4,"0"
5,"1"
6,"0"
7,"0"
8,"0"
9,"0"
10,"0"
11,"0"
12,"0"
13,"0"
14,"0"
15,"0"
16,"0"
17,"0"
18,"2"
19,"2"
20,"4"
21,"3"
22,"3"
23,"6"
24,"14"
25,"16"
26,"30"
27,"31"
28,"54"
29,"38"
30,"95"
31,"107"
32,"111"
33,"129"
34,"157"
35,"166"
36,"136"
37,"185"
38,"153"
39,"144"
40,"157"
41,"158"
42,"153"
43,"178"
44,"158"
45,"157"
46,"190"
47,"179"
48,"167"
49,"174"
50,"182"
51,"192"
52,"179"
53,"201"
54,"205"
55,"205"
56,"202"
57,"211"
58,"186"
59,"201"
60,"213"
61,"226"
62,"194"
63,"231"
64,"229"
65,"217"
66,"207"
67,"194"
68,"190"
69,"197"
70,"235"
71,"223"
72,"219"
73,"221"
74,"222"
75,"172"
76,"177"
77,"185"
78,"207"
79,"161"
80,"190"
81,"161"
82,"195"
83,"183"
84,"159"
85,"165"
86,"180"
87,"182"
88,"185"
89,"161"
90,"161"
91,"162"
92,"137"
93,"160"
94,"162"
95,"147"
96,"173"
97,"144"
98,"141"
99,"133"
100,"141"
101,"155"
102,"162"
103,"168"
104,"169"
105,"136"
106,"139"
107,"132"
108,"170"
109,"162"
110,"147"
111,"127"
112,"125"
113,"129"
114,"130"
115,"142"
116,"143"
117,"129"
118,"120"
119,"143"
120,"129"
121,"122"
122,"125"
123,"100"
124,"108"
125,"119"
126,"118"
127,"102"
128,"126"
129,"113"
130,"118"
131,"107"
132,"106"
133,"105"
134,"114"
135,"101"
136,"102"
137,"112"
138,"108"
139,"108"
140,"110"
141,"118"
142,"108"
143,"99"
144,"102"
145,"118"
146,"96"
147,"117"
148,"107"
149,"92"
150,"103"
151,"115"
152,"96"
153,"82"
154,"85"
155,"102"
156,"97"
157,"104"
158,"106"
159,"106"
160,"98"
161,"123"
162,"118"
163,"158"
164,"143"
165,"135"
166,"136"
167,"129"
168,"134"
169,"126"
170,"129"
171,"101"
172,"91"
173,"94"
174,"93"
175,"88"
176,"83"
177,"79"
178,"91"
179,"106"
180,"83"
181,"77"
182,"79"
183,"100"
184,"74"
185,"76"
186,"81"
187,"81"
188,"66"
189,"67"
190,"72"
191,"74"
192,"63"
193,"63"
194,"58"
195,"63"
196,"57"
197,"49"
198,"69"
199,"43"
200,"63"
201,"41"
202,"54"
203,"69"
204,"59"
205,"40"
206,"49"
207,"50"
208,"44"
209,"48"
210,"44"
211,"36"
212,"44"
213,"47"
214,"39"
215,"51"
216,"49"
217,"38"
218,"67"
219,"57"
220,"63"
221,"76"
222,"76"
223,"97"
224,"109"
225,"130"
226,"108"
227,"113"
228,"107"
229,"105"
230,"110"
231,"95"
232,"88"
233,"67"
234,"77"
235,"66"
236,"61"
237,"58"
238,"41"
239,"44"
240,"48"
241,"45"
242,"54"
243,"41"
244,"40"
245,"42"
246,"40"
247,"49"
248,"51"
249,"47"
250,"34"
251,"42"
252,"27"
253,"35"
254,"27"
255,"42"
256,"25"
257,"27"
258,"13"
259,"26"
260,"20"
261,"35"
262,"21"
263,"28"
264,"31"
265,"28"
266,"29"
267,"28"
268,"31"
269,"20"
270,"32"
271,"34"
272,"29"
273,"33"
274,"31"
275,"34"
276,"28"
277,"21"
278,"21"
279,"16"
280,"29"
281,"18"
282,"24"
283,"20"
284,"23"
285,"35"
286,"25"
287,"42"
288,"47"
289,"45"
290,"60"
291,"72"
292,"86"
293,"86"
294,"95"
295,"121"
296,"101"
297,"104"
298,"73"
299,"89"
300,"64"
301,"65"
302,"59"
303,"64"
304,"63"
305,"54"
306,"77"
307,"101"
308,"193"
309,"291"
310,"495"
311,"810"
312,"1151"
313,"1898"
314,"2523"
315,"3585"
316,"4546"
317,"5421"
318,"6322"
319,"7016"
320,"7055"
321,"6913"
322,"6533"
323,"5638"
324,"4760"
325,"3808"
326,"2815"
327,"2128"
328,"1538"
329,"1081"
330,"701"
331,"508"
332,"370"
333,"265"
334,"188"
335,"161"
336,"160"
337,"131"
338,"115"
339,"117"
340,"164"
341,"148"
342,"160"
343,"224"
344,"250"
345,"342"
346,"468"
347,"620"
348,"750"
349,"951"
350,"1054"
351,"1249"
352,"1268"
353,"1384"
354,"1218"
355,"1100"
356,"1032"
357,"824"
358,"687"
359,"485"
360,"416"
361,"285"
362,"210"
363,"162"
364,"101"
365,"75"
366,"74"
367,"65"
368,"60"
369,"69"
370,"62"
371,"66"
372,"52"
373,"58"
374,"88"
375,"69"
376,"50"
377,"64"
378,"41"
379,"48"
380,"34"
381,"25"
382,"30"
383,"20"
384,"18"
385,"19"
386,"24"
387,"15"
388,"23"
389,"17"
390,"19"
391,"11"
392,"15"
393,"15"
394,"14"
395,"21"
396,"13"
397,"15"
398,"22"
399,"27"
400,"33"
401,"10"
402,"18"
403,"19"
404,"27"
405,"20"
406,"16"
407,"12"
408,"20"
409,"15"
410,"17"
411,"21"
412,"14"
413,"25"
414,"20"
415,"15"
416,"20"
417,"20"
418,"17"
419,"20"
420,"15"
421,"28"
422,"18"
423,"32"
424,"18"
425,"19"
426,"16"
427,"25"
428,"32"
429,"35"
430,"41"
431,"39"
432,"38"
433,"44"
434,"32"
435,"35"
436,"24"
437,"19"
438,"28"
439,"16"
440,"14"
441,"8"
442,"15"
443,"15"
444,"7"
445,"11"
446,"11"
447,"9"
448,"13"
449,"5"
450,"8"
451,"9"
452,"8"
453,"4"
454,"5"
455,"12"
456,"6"
457,"10"
458,"13"
459,"11"
460,"19"
461,"16"
462,"14"
463,"16"
464,"22"
465,"23"
466,"8"
467,"10"
468,"12"
469,"13"
470,"6"
471,"13"
472,"13"
473,"16"
474,"10"
475,"12"
476,"9"
477,"19"
478,"13"
479,"9"
480,"26"
481,"16"
482,"22"
483,"14"
484,"23"
485,"16"
486,"18"
487,"15"
488,"11"
489,"10"
490,"15"
491,"10"
492,"14"
493,"14"
494,"12"
495,"21"
496,"9"
497,"13"
498,"14"
499,"13"
500,"12"
501,"16"
502,"6"
503,"3"
504,"6"
505,"7"
506,"4"
507,"6"
508,"2"
509,"6"
510,"7"
511,"7"
512,"10"
513,"9"
514,"11"
515,"15"
516,"4"
517,"5"
518,"10"
519,"9"
520,"1"
521,"14"
522,"12"
523,"7"
524,"19"
525,"19"
526,"25"
527,"15"
528,"24"
529,"16"
530,"13"
531,"11"
532,"22"
533,"7"
534,"8"
535,"10"
536,"7"
537,"6"
538,"8"
539,"6"
540,"2"
541,"4"
542,"3"
543,"4"
544,"5"
545,"8"
546,"5"
547,"5"
548,"6"
549,"7"
550,"3"
551,"5"
552,"2"
553,"7"
554,"5"
555,"2"
556,"4"
557,"9"
558,"10"
559,"10"
560,"9"
561,"12"
562,"4"
563,"3"
564,"5"
565,"6"
566,"8"
567,"7"
568,"13"
569,"4"
570,"3"
571,"10"
572,"6"
573,"6"
574,"5"
575,"3"
576,"4"
577,"4"
578,"7"
579,"9"
580,"5"
581,"3"
582,"8"
583,"10"
584,"7"
585,"6"
586,"6"
587,"10"
588,"12"
589,"5"
590,"3"
591,"9"
592,"6"
593,"9"
594,"6"
595,"4"
596,"3"
597,"6"
598,"10"
599,"2"
600,"3"
601,"8"
602,"4"
603,"4"
604,"3"
605,"4"
606,"3"
607,"6"
608,"2"
609,"6"
610,"4"
611,"4"
612,"6"
613,"4"
614,"6"
615,"6"
616,"8"
617,"3"
618,"5"
619,"10"
620,"11"
621,"6"
622,"13"
623,"12"
624,"20"
625,"6"
626,"16"
627,"8"
628,"12"
629,"16"
630,"15"
631,"14"
632,"14"
633,"16"
634,"20"
635,"13"
636,"13"
637,"15"
638,"13"
639,"12"
640,"13"
641,"14"
642,"17"
643,"8"
644,"14"
645,"14"
646,"23"
647,"16"
648,"27"
649,"20"
650,"12"
651,"19"
652,"12"
653,"12"
654,"12"
655,"14"
656,"17"
657,"22"
658,"32"
659,"58"
660,"73"
661,"87"
662,"106"
663,"129"
664,"149"
665,"166"
666,"172"
667,"210"
668,"219"
669,"231"
670,"179"
671,"179"
672,"174"
673,"161"
674,"131"
675,"110"
676,"99"
677,"79"
678,"58"
679,"48"
680,"39"
681,"41"
682,"21"
683,"26"
684,"13"
685,"17"
686,"9"
687,"13"
688,"15"
689,"9"
690,"8"
691,"7"
692,"16"
693,"16"
694,"18"
695,"11"
696,"25"
697,"28"
698,"28"
699,"43"
700,"50"
701,"65"
702,"79"
703,"65"
704,"93"
705,"112"
706,"122"
707,"106"
708,"96"
709,"98"
710,"97"
711,"80"
712,"73"
713,"54"
714,"79"
715,"30"
716,"44"
717,"31"
718,"19"
719,"16"
720,"18"
721,"11"
722,"10"
723,"12"
724,"12"
725,"11"
726,"7"
727,"8"
728,"8"
729,"21"
730,"16"
731,"12"
732,"16"
733,"12"
734,"22"
735,"21"
736,"24"
737,"27"
738,"37"
739,"45"
740,"59"
741,"52"
742,"77"
743,"79"
744,"102"
745,"100"
746,"89"
747,"104"
748,"88"
749,"112"
750,"79"
751,"72"
752,"70"
753,"54"
754,"46"
755,"49"
756,"43"
757,"43"
758,"31"
759,"19"
760,"23"
761,"20"
762,"21"
763,"19"
764,"16"
765,"13"
766,"16"
767,"17"
768,"10"
769,"15"
770,"15"
771,"14"
772,"17"
773,"29"
774,"33"
775,"44"
776,"62"
777,"76"
778,"86"
779,"101"
780,"147"
781,"176"
782,"184"
783,"208"
784,"247"
785,"256"
786,"267"
787,"279"
788,"261"
789,"283"
