Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,n97b-1-A
Duration Time,120
Ambient Temperature,92
Detector Temperature,-40
Valid Accumulated Counts,191063
Raw Accumulated Counts,238759
Valid Count Last Packet,1558
Raw Count Last Packet,1960
Live Time,112.904121
HV DAC,159
HV ADC,40
Filament DAC,181
Filament ADC,27.9
Pulse Length,201
Pulse Period,254
Filter,1
eV per channel,20
Number of Channels,2048
Vacuum,764
Channel#,Intensity
0,169
1,177
2,137
3,110
4,72
5,54
6,23
7,22
8,16
9,7
10,5
11,6
12,2
13,1
14,0
15,1
16,0
17,2
18,0
19,2
20,3
21,1
22,3
23,5
24,4
25,13
26,7
27,9
28,30
29,31
30,45
31,50
32,72
33,78
34,77
35,83
36,83
37,69
38,112
39,108
40,106
41,114
42,77
43,111
44,91
45,94
46,94
47,105
48,105
49,103
50,91
51,100
52,103
53,96
54,81
55,123
56,104
57,127
58,125
59,134
60,127
61,113
62,111
63,114
64,121
65,137
66,137
67,114
68,137
69,106
70,122
71,99
72,106
73,106
74,134
75,119
76,101
77,134
78,124
79,109
80,106
81,89
82,103
83,93
84,102
85,103
86,97
87,113
88,110
89,96
90,91
91,85
92,110
93,109
94,103
95,100
96,92
97,91
98,118
99,94
100,101
101,86
102,96
103,85
104,73
105,94
106,81
107,86
108,97
109,91
110,91
111,81
112,88
113,75
114,76
115,89
116,72
117,76
118,70
119,77
120,83
121,83
122,88
123,74
124,83
125,55
126,83
127,72
128,79
129,83
130,65
131,72
132,69
133,74
134,61
135,54
136,76
137,77
138,73
139,72
140,70
141,61
142,54
143,66
144,57
145,57
146,72
147,65
148,52
149,65
150,48
151,65
152,57
153,55
154,44
155,61
156,60
157,63
158,43
159,55
160,55
161,50
162,48
163,51
164,49
165,43
166,50
167,50
168,56
169,50
170,51
171,40
172,36
173,35
174,46
175,41
176,41
177,29
178,48
179,33
180,33
181,38
182,37
183,47
184,35
185,41
186,37
187,34
188,39
189,28
190,25
191,24
192,25
193,31
194,21
195,32
196,29
197,30
198,25
199,23
200,24
201,25
202,22
203,34
204,19
205,21
206,13
207,14
208,19
209,24
210,19
211,21
212,21
213,25
214,11
215,15
216,22
217,25
218,28
219,32
220,41
221,51
222,64
223,88
224,105
225,76
226,116
227,112
228,87
229,83
230,63
231,56
232,47
233,47
234,37
235,23
236,17
237,18
238,16
239,19
240,15
241,22
242,29
243,20
244,20
245,33
246,28
247,31
248,23
249,21
250,23
251,17
252,12
253,22
254,5
255,13
256,12
257,17
258,9
259,8
260,9
261,6
262,5
263,15
264,7
265,7
266,12
267,10
268,6
269,14
270,15
271,20
272,19
273,11
274,12
275,14
276,10
277,9
278,11
279,11
280,6
281,9
282,7
283,5
284,8
285,9
286,6
287,8
288,10
289,7
290,8
291,5
292,4
293,7
294,11
295,8
296,5
297,13
298,7
299,12
300,9
301,6
302,6
303,5
304,8
305,5
306,4
307,12
308,8
309,23
310,34
311,46
312,46
313,82
314,131
315,155
316,224
317,271
318,276
319,318
320,315
321,307
322,287
323,256
324,204
325,176
326,149
327,114
328,83
329,74
330,39
331,23
332,22
333,16
334,11
335,8
336,6
337,5
338,5
339,7
340,6
341,4
342,15
343,6
344,14
345,18
346,26
347,29
348,44
349,35
350,43
351,55
352,57
353,50
354,49
355,54
356,65
357,43
358,37
359,28
360,23
361,20
362,20
363,9
364,8
365,13
366,9
367,16
368,13
369,18
370,27
371,24
372,34
373,28
374,20
375,33
376,27
377,25
378,19
379,16
380,22
381,16
382,11
383,8
384,6
385,9
386,4
387,5
388,5
389,8
390,8
391,6
392,5
393,8
394,12
395,6
396,6
397,14
398,15
399,22
400,16
401,15
402,10
403,17
404,22
405,20
406,23
407,6
408,11
409,8
410,10
411,10
412,10
413,13
414,14
415,11
416,9
417,7
418,6
419,7
420,12
421,8
422,11
423,11
424,11
425,11
426,12
427,13
428,18
429,19
430,14
431,16
432,21
433,30
434,18
435,16
436,18
437,16
438,14
439,7
440,11
441,9
442,4
443,8
444,8
445,8
446,10
447,8
448,9
449,7
450,3
451,7
452,6
453,4
454,13
455,11
456,12
457,16
458,9
459,23
460,11
461,18
462,11
463,20
464,11
465,28
466,9
467,9
468,12
469,7
470,8
471,5
472,11
473,8
474,14
475,5
476,8
477,8
478,12
479,13
480,11
481,13
482,12
483,13
484,8
485,5
486,6
487,8
488,5
489,11
490,5
491,10
492,7
493,9
494,10
495,8
496,5
497,5
498,9
499,6
500,7
501,5
502,9
503,3
504,9
505,6
506,7
507,9
508,6
509,9
510,11
511,6
512,3
513,3
514,7
515,2
516,8
517,7
518,10
519,10
520,13
521,8
522,9
523,14
524,9
525,19
526,11
527,16
528,16
529,16
530,12
531,12
532,8
533,10
534,10
535,8
536,7
537,6
538,2
539,4
540,6
541,2
542,4
543,6
544,4
545,4
546,8
547,3
548,3
549,4
550,4
551,3
552,1
553,5
554,4
555,4
556,6
557,8
558,7
559,2
560,5
561,4
562,2
563,8
564,4
565,3
566,2
567,6
568,6
569,2
570,1
571,2
572,1
573,4
574,3
575,1
576,5
577,4
578,3
579,1
580,5
581,2
582,2
583,7
584,6
585,4
586,2
587,1
588,6
589,2
590,2
591,4
592,4
593,4
594,5
595,1
596,4
597,3
598,7
599,4
600,3
601,1
602,3
603,5
604,2
605,2
606,3
607,5
608,5
609,3
610,3
611,2
612,7
613,5
614,7
615,5
616,4
617,4
618,3
619,6
620,8
621,4
622,8
623,10
624,11
625,3
626,16
627,15
628,12
629,23
630,18
631,20
632,13
633,13
634,16
635,17
636,13
637,7
638,10
639,12
640,14
641,15
642,8
643,13
644,17
645,17
646,20
647,19
648,13
649,25
650,11
651,14
652,16
653,12
654,20
655,17
656,11
657,10
658,6
659,8
660,21
661,19
662,17
663,15
664,23
665,17
666,30
667,26
668,34
669,27
670,31
671,43
672,48
673,26
674,29
675,19
676,32
677,20
678,10
679,22
680,10
681,13
682,5
683,12
684,7
685,10
686,7
687,4
688,5
689,7
690,8
691,11
692,8
693,9
694,11
695,21
696,18
697,22
698,21
699,23
700,37
701,50
702,58
703,68
704,81
705,61
706,91
707,76
708,91
709,89
710,90
711,66
712,69
713,64
714,61
715,48
716,37
717,27
718,12
719,16
720,12
721,12
722,12
723,7
724,8
725,6
726,4
727,9
728,4
729,4
730,8
731,9
732,9
733,11
734,14
735,20
736,17
737,22
738,24
739,20
740,27
741,38
742,36
743,54
744,49
745,48
746,55
747,50
748,51
749,52
750,33
751,48
752,43
753,40
754,33
755,32
756,28
757,16
758,22
759,17
760,20
761,16
762,12
763,11
764,12
765,15
766,12
767,23
768,13
769,13
770,27
771,24
772,35
773,47
774,57
775,69
776,84
777,136
778,156
779,224
780,245
781,295
782,361
783,410
784,502
785,526
786,555
787,575
788,618
789,601
790,557
791,494
792,454
793,400
794,335
795,302
796,206
797,205
798,126
799,123
800,98
801,69
802,57
803,39
804,41
805,28
806,24
807,25
808,33
809,32
810,26
811,27
812,25
813,24
814,27
815,21
816,30
817,30
818,29
819,38
820,34
821,27
822,38
823,42
824,61
825,78
826,67
827,83
828,62
829,85
830,83
831,91
832,77
833,75
834,59
835,61
836,59
837,53
838,50
839,48
840,29
841,27
842,20
843,23
844,22
845,22
846,20
847,13
848,24
849,19
850,14
851,21
852,11
853,23
854,21
855,24
856,20
857,17
858,24
859,14
860,33
861,24
862,33
863,21
864,37
865,33
866,47
867,35
868,43
869,48
870,44
871,55
872,64
873,83
874,78
875,72
876,69
877,85
878,101
879,97
880,122
881,126
882,119
883,116
884,143
885,121
886,92
887,113
888,92
889,92
890,97
891,81
892,75
893,54
894,60
895,47
896,45
897,46
898,32
899,45
900,39
901,36
902,43
903,37
904,36
905,43
906,40
907,39
908,32
909,39
910,34
911,35
912,25
913,40
914,26
915,29
916,45
917,36
918,47
919,44
920,35
921,52
922,40
923,49
924,54
925,51
926,41
927,49
928,60
929,60
930,61
931,52
932,65
933,71
934,84
935,75
936,70
937,85
938,76
939,62
940,71
941,71
942,104
943,97
944,86
945,105
946,111
947,110
948,100
949,130
950,118
951,97
952,124
953,110
954,116
955,125
956,128
957,116
958,111
959,121
960,118
961,107
962,98
963,115
964,109
965,99
966,92
967,92
968,98
969,96
970,81
971,83
972,108
973,96
974,71
975,71
976,83
977,92
978,80
979,80
980,72
981,68
982,73
983,94
984,86
985,65
986,63
987,64
988,66
989,63
