Bruker AXS Handheld Inc. S1PXRF Spectrum ,
Label,98b-03
Duration Time,120
Ambient Temperature,99.7
Detector Temperature,-40
Valid Accumulated Counts,185816
Raw Accumulated Counts,232076
Valid Count Last Packet,1570
Raw Count Last Packet,2033
Live Time,113.096092
HV DAC,159
HV ADC,40
Filament DAC,181
Filament ADC,27.9
Pulse Length,201
Pulse Period,254
Filter,1
eV per channel,20
Number of Channels,2048
Vacuum,750
Channel#,Intensity
0,86
1,98
2,85
3,83
4,89
5,51
6,42
7,33
8,34
9,26
10,14
11,9
12,8
13,3
14,2
15,0
16,0
17,1
18,0
19,2
20,0
21,1
22,2
23,8
24,4
25,7
26,9
27,23
28,19
29,28
30,37
31,41
32,70
33,71
34,78
35,86
36,84
37,85
38,116
39,78
40,88
41,109
42,101
43,106
44,95
45,117
46,96
47,97
48,110
49,100
50,95
51,104
52,121
53,122
54,111
55,150
56,106
57,130
58,118
59,129
60,116
61,134
62,135
63,128
64,136
65,132
66,121
67,131
68,134
69,109
70,144
71,122
72,127
73,129
74,131
75,103
76,112
77,116
78,123
79,103
80,137
81,98
82,86
83,116
84,108
85,96
86,108
87,106
88,114
89,114
90,101
91,107
92,98
93,98
94,73
95,104
96,101
97,75
98,92
99,82
100,100
101,108
102,90
103,92
104,92
105,103
106,82
107,80
108,91
109,68
110,82
111,87
112,82
113,95
114,75
115,76
116,76
117,85
118,82
119,75
120,82
121,73
122,84
123,77
124,85
125,76
126,101
127,78
128,66
129,68
130,85
131,73
132,62
133,65
134,64
135,60
136,57
137,47
138,64
139,68
140,77
141,59
142,58
143,60
144,59
145,57
146,58
147,71
148,60
149,55
150,53
151,50
152,61
153,57
154,59
155,57
156,58
157,56
158,59
159,73
160,58
161,70
162,74
163,63
164,66
165,71
166,61
167,55
168,60
169,62
170,56
171,53
172,55
173,37
174,53
175,39
176,54
177,35
178,43
179,46
180,37
181,29
182,38
183,33
184,38
185,41
186,34
187,31
188,33
189,31
190,36
191,27
192,25
193,22
194,24
195,34
196,22
197,31
198,20
199,28
200,23
201,14
202,24
203,29
204,27
205,21
206,20
207,24
208,21
209,21
210,16
211,17
212,22
213,18
214,21
215,26
216,32
217,32
218,30
219,38
220,41
221,38
222,38
223,51
224,45
225,48
226,50
227,42
228,48
229,46
230,36
231,31
232,36
233,32
234,38
235,35
236,19
237,20
238,29
239,13
240,14
241,20
242,14
243,18
244,17
245,19
246,14
247,10
248,17
249,26
250,15
251,16
252,19
253,18
254,12
255,17
256,8
257,10
258,15
259,11
260,8
261,11
262,12
263,9
264,6
265,9
266,6
267,8
268,10
269,7
270,12
271,10
272,11
273,14
274,14
275,11
276,7
277,9
278,9
279,11
280,13
281,9
282,4
283,7
284,10
285,5
286,7
287,6
288,6
289,8
290,8
291,6
292,10
293,5
294,7
295,6
296,12
297,13
298,6
299,8
300,9
301,9
302,7
303,14
304,8
305,13
306,18
307,23
308,38
309,63
310,81
311,89
312,132
313,145
314,159
315,244
316,253
317,265
318,306
319,308
320,306
321,281
322,266
323,301
324,264
325,259
326,227
327,182
328,145
329,95
330,96
331,79
332,53
333,32
334,21
335,19
336,19
337,8
338,12
339,5
340,10
341,19
342,15
343,26
344,25
345,19
346,45
347,38
348,48
349,53
350,41
351,54
352,69
353,51
354,58
355,54
356,46
357,59
358,45
359,37
360,29
361,38
362,25
363,25
364,16
365,21
366,14
367,11
368,31
369,18
370,30
371,28
372,27
373,21
374,25
375,21
376,16
377,27
378,26
379,20
380,19
381,13
382,18
383,11
384,7
385,5
386,9
387,4
388,8
389,6
390,2
391,6
392,3
393,3
394,10
395,12
396,5
397,7
398,13
399,13
400,15
401,15
402,12
403,11
404,14
405,8
406,16
407,13
408,8
409,18
410,11
411,9
412,18
413,8
414,7
415,7
416,7
417,9
418,12
419,13
420,6
421,11
422,12
423,8
424,8
425,9
426,10
427,12
428,11
429,17
430,10
431,16
432,14
433,13
434,13
435,20
436,13
437,20
438,11
439,20
440,9
